Date,City Tier,Avg. Orders
2023-12-25,Tier 1,1.5
2023-12-26,Tier 1,17.451612903225808
2023-12-26,Tier 2,20.41176470588235
2023-12-26,Tier 3,13.071428571428571
2023-12-26,Tier 4,10.3125
2023-12-27,Tier 1,35.96875
2023-12-27,Tier 2,18.944444444444443
2023-12-27,Tier 3,17.428571428571427
2023-12-27,Tier 4,13.5
2023-12-28,Tier 1,32.81818181818182
2023-12-28,Tier 2,18.68421052631579
2023-12-28,Tier 3,19.75862068965517
2023-12-28,Tier 4,13.789473684210526
2023-12-29,Tier 1,38.375
2023-12-29,Tier 2,19.61111111111111
2023-12-29,Tier 3,20.3125
2023-12-29,Tier 4,14.31578947368421
2023-12-30,Tier 1,19.87878787878788
2023-12-30,Tier 2,12.0
2023-12-30,Tier 3,12.676470588235293
2023-12-30,Tier 4,8.75
2023-12-31,Tier 1,15.708333333333334
2023-12-31,Tier 2,7.583333333333333
2023-12-31,Tier 3,14.142857142857142
2023-12-31,Tier 4,7.3
2024-01-01,Tier 1,42.42857142857143
2024-01-01,Tier 2,24.428571428571427
2024-01-01,Tier 3,33.0
2024-01-01,Tier 4,15.0
2024-01-02,Tier 1,21.4
2024-01-02,Tier 2,11.4375
2024-01-02,Tier 3,14.466666666666667
2024-01-02,Tier 4,9.538461538461538
2024-01-03,Tier 1,19.862068965517242
2024-01-03,Tier 2,11.25
2024-01-03,Tier 3,14.225806451612904
2024-01-03,Tier 4,9.166666666666666
2024-01-04,Tier 1,17.15625
2024-01-04,Tier 2,9.666666666666666
2024-01-04,Tier 3,12.838709677419354
2024-01-04,Tier 4,7.545454545454546
2024-01-05,Tier 1,18.875
2024-01-05,Tier 2,11.666666666666666
2024-01-05,Tier 3,13.413793103448276
2024-01-05,Tier 4,7.608695652173913
2024-01-06,Tier 1,14.657142857142857
2024-01-06,Tier 2,12.176470588235293
2024-01-06,Tier 3,14.34375
2024-01-06,Tier 4,7.3478260869565215
2024-01-07,Tier 1,20.794117647058822
2024-01-07,Tier 2,16.05
2024-01-07,Tier 3,20.17241379310345
2024-01-07,Tier 4,10.782608695652174
2024-01-08,Tier 1,11.464285714285714
2024-01-08,Tier 2,7.142857142857143
2024-01-08,Tier 3,10.466666666666667
2024-01-08,Tier 4,4.526315789473684
2024-01-09,Tier 1,13.363636363636363
2024-01-09,Tier 2,7.5625
2024-01-09,Tier 3,10.366666666666667
2024-01-09,Tier 4,7.25
2024-01-10,Tier 1,13.272727272727273
2024-01-10,Tier 2,8.05
2024-01-10,Tier 3,9.090909090909092
2024-01-10,Tier 4,9.0
2024-01-11,Tier 1,11.942857142857143
2024-01-11,Tier 2,8.8
2024-01-11,Tier 3,8.5625
2024-01-11,Tier 4,7.869565217391305
2024-01-12,Tier 1,15.885714285714286
2024-01-12,Tier 2,8.727272727272727
2024-01-12,Tier 3,11.571428571428571
2024-01-12,Tier 4,9.454545454545455
2024-01-13,Tier 1,14.205882352941176
2024-01-13,Tier 2,8.909090909090908
2024-01-13,Tier 3,10.424242424242424
2024-01-13,Tier 4,9.090909090909092
2024-01-14,Tier 1,19.62857142857143
2024-01-14,Tier 2,13.545454545454545
2024-01-14,Tier 3,17.0625
2024-01-14,Tier 4,11.695652173913043
2024-01-15,Tier 1,9.4
2024-01-15,Tier 2,5.888888888888889
2024-01-15,Tier 3,9.64516129032258
2024-01-15,Tier 4,5.3
2024-01-16,Tier 1,11.696969696969697
2024-01-16,Tier 2,7.611111111111111
2024-01-16,Tier 3,8.1875
2024-01-16,Tier 4,5.142857142857143
2024-01-17,Tier 1,12.457142857142857
2024-01-17,Tier 2,6.944444444444445
2024-01-17,Tier 3,9.028571428571428
2024-01-17,Tier 4,6.590909090909091
2024-01-18,Tier 1,12.657142857142857
2024-01-18,Tier 2,6.368421052631579
2024-01-18,Tier 3,10.166666666666666
2024-01-18,Tier 4,5.363636363636363
2024-01-19,Tier 1,15.4
2024-01-19,Tier 2,6.45
2024-01-19,Tier 3,11.38888888888889
2024-01-19,Tier 4,8.26086956521739
2024-01-20,Tier 1,13.527777777777779
2024-01-20,Tier 2,7.25
2024-01-20,Tier 3,9.818181818181818
2024-01-20,Tier 4,7.590909090909091
2024-01-21,Tier 1,18.91891891891892
2024-01-21,Tier 2,11.31578947368421
2024-01-21,Tier 3,12.966666666666667
2024-01-21,Tier 4,11.130434782608695
2024-01-22,Tier 1,11.03125
2024-01-22,Tier 2,4.882352941176471
2024-01-22,Tier 3,9.538461538461538
2024-01-22,Tier 4,6.476190476190476
2024-01-23,Tier 1,14.81081081081081
2024-01-23,Tier 2,7.095238095238095
2024-01-23,Tier 3,11.806451612903226
2024-01-23,Tier 4,7.238095238095238
2024-01-24,Tier 1,13.868421052631579
2024-01-24,Tier 2,8.45
2024-01-24,Tier 3,10.567567567567568
2024-01-24,Tier 4,7.818181818181818
