index,No. of orders per Tier,Avg. GMV per Tier,Total GMV per Tier,Total Order Volume per Tier,Total Population per Tier,Avg. Order Volume per Resident Per Tier,Avg. Rating of Partners in Tiers,No. of different fulfilment types per Tier,Avg. Rating of fulfilment types per Tier,No. of unique Vendors per Tier,Avg. Orders per Vendor per Tier
DaaS Delivery,,,,,,,,1687.0,,,
"('DaaS Delivery', 'Tier 1')",,,,,,,,,,,
"('DaaS Delivery', 'Tier 2')",,,,,,,,,,,
"('DaaS Delivery', 'Tier 3')",,,,,,,,,,,
Own Delivery,,,,,,,,102683.0,,,
"('Own Delivery', 'Tier 1')",,,,,,,,,3.2437357630979498,,
"('Own Delivery', 'Tier 2')",,,,,,,,,3.2994011976047903,,
"('Own Delivery', 'Tier 3')",,,,,,,,,3.3322884012539187,,
"('Own Delivery', 'Tier 4')",,,,,,,,,3.695336787564767,,
POS Sale,,,,,,,,6195.0,,,
Pickup,,,,,,,,10760.0,,,
Platform Delivery,,,,,,,,110373.0,,,
"('POS Sale', 'Tier 1')",,,,,,,,,,,
"('Pickup', 'Tier 1')",,,,,,,,,4.212765957446808,,
"('Pickup', 'Tier 2')",,,,,,,,,4.2518796992481205,,
"('Pickup', 'Tier 3')",,,,,,,,,4.423214285714286,,
"('Pickup', 'Tier 4')",,,,,,,,,4.2465753424657535,,
"('Platform Delivery', 'Tier 1')",,,,,,,,,4.041715727502103,,
"('Platform Delivery', 'Tier 2')",,,,,,,,,3.9561524334251605,,
"('Platform Delivery', 'Tier 3')",,,,,,,,,3.9934797529169526,,
Tier 1,110821.0,26.919633553207426,2983260.71,110821.0,8244695.0,0.013441491771375411,3.837373134328358,,,72.0,1539.1805555555557
Tier 2,42563.0,27.22345417381294,1158711.8800000001,42563.0,6531959.0,0.006516115609421308,3.8220879489761663,,,31.0,1373.0
Tier 3,53496.0,27.111775459847465,1450371.54,53496.0,12163354.0,0.0043981290029049555,3.7534019249917026,,,42.0,1273.7142857142858
Tier 4,24818.0,28.516930453702958,707733.18,24818.0,23253766.0,0.0010672679857533613,3.7341040462427744,,,24.0,1034.0833333333333
